trade_id,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_intensity
23094,CN,JP,STONE,RAWMI,0.09,1355.0,1.0,1.0,1355.0,15055.555556
18874,CN,JP,CERAM,CONST,391.47,1346.0,1.0,1.0,1346.0,3.438322
76770,RU,JP,BITUM,BASIC,448.01,1322.0,1.0,1.0,1322.0,2.950827
96087,WA,JP,MEAT1,HOTEL,617.34,1305.0,1.0,1.0,1305.0,2.113908
105517,WM,JP,CRUDE,NAPHT,2016.87,1303.0,1.0,1.0,1303.0,0.646051
99103,WA,JP,TEXTI,WEARI,986.14,1296.0,1.0,1.0,1296.0,1.314215
23389,CN,JP,TRANS,TRANS,212.91,1292.0,1.0,1.0,1292.0,6.068292
93624,WA,JP,CHEM1,BASIC,36.85,1288.0,1.0,1.0,1288.0,34.95251
95791,WA,JP,LEAD1,BASIC,280.9,1275.0,1.0,1.0,1275.0,4.538982
105530,WM,JP,CRUDE,RUBBE,1870.4,1208.0,1.0,1.0,1208.0,0.645851
94491,WA,JP,FABRI,BASIC,579.52,1205.0,1.0,1.0,1205.0,2.079307
84886,TW,JP,REALE,BUSIN,8887.54,1200.0,1.0,1.0,1200.0,0.13502
93602,WA,JP,CERAM,WOODW,218.08,1192.0,1.0,1.0,1192.0,5.465884
19522,CN,JP,ELECT,BASIC,554.56,1190.0,1.0,1.0,1190.0,2.145845
95329,WA,JP,GLASS,MEDIC,649.53,1184.0,1.0,1.0,1184.0,1.822857
99427,WA,JP,WEARI,CONST,329.08,1160.0,1.0,1.0,1160.0,3.524979
93103,WA,JP,BASIC,FABRI,144.95,1155.0,1.0,1.0,1155.0,7.968265
18253,CN,JP,ALUM1,ALUM1,265.85,1155.0,1.0,1.0,1155.0,4.344555
76792,RU,JP,BITUM,ELEC1,378.99,1118.0,1.0,1.0,1118.0,2.949946
99511,WA,JP,WEARI,RETA1,315.29,1111.0,1.0,1.0,1111.0,3.52374
93923,WA,JP,CONST,ELECT,1787.26,1066.0,1.0,1.0,1066.0,0.596444
20597,CN,JP,IRONO,BASIC,0.28,1035.0,1.0,1.0,1035.0,3696.428571
96788,WA,JP,NONF1,NONF1,137.75,1034.0,1.0,1.0,1034.0,7.506352
95078,WA,JP,FURNI,FURNI,483.61,1027.0,1.0,1.0,1027.0,2.123612
86726,US,JP,CEREA,FOOD5,1974.75,1020.0,1.0,1.0,1020.0,0.516521
60529,KR,JP,CONST,ELECT,491.44,1010.0,1.0,1.0,1010.0,2.055185
77250,RU,JP,CRUDE,MOTOR,953.11,1010.0,1.0,1.0,1010.0,1.059689
89113,US,JP,MEATP,HOTEL,427.3,1008.0,1.0,1.0,1008.0,2.358998
89056,US,JP,MEATC,HOTEL,683.35,997.0,1.0,1.0,997.0,1.458989
96784,WA,JP,NONF1,MOTO1,131.7,989.0,1.0,1.0,989.0,7.509491
99765,WA,JP,WOODW,PULP5,219.43,983.0,1.0,1.0,983.0,4.479789
99228,WA,JP,VEGE1,CHEM1,256.74,973.0,1.0,1.0,973.0,3.789826
97275,WA,JP,PLAST,ELECT,274.06,972.0,1.0,1.0,972.0,3.546669
93634,WA,JP,CHEM1,CHEM1,27.74,970.0,1.0,1.0,970.0,34.967556
22795,CN,JP,RUBBE,MACHI,482.53,962.0,1.0,1.0,962.0,1.993658
19668,CN,JP,FABRI,BASIC,349.7,959.0,1.0,1.0,959.0,2.742351
19108,CN,JP,COKEO,BASIC,237.0,958.0,1.0,1.0,958.0,4.042194
18951,CN,JP,CHEM1,BASIC,545.52,956.0,1.0,1.0,956.0,1.752456
98374,WA,JP,RUBBE,CONST,1184.03,953.0,1.0,1.0,953.0,0.804878
23090,CN,JP,STONE,PIGS9,0.06,950.0,1.0,1.0,950.0,15833.333333
21973,CN,JP,PLAST,RUBBE,415.62,934.0,1.0,1.0,934.0,2.247245
18693,CN,JP,BRICK,BRICK,1.3,933.0,1.0,1.0,933.0,717.692308
23076,CN,JP,STONE,AUXIL,0.06,916.0,1.0,1.0,916.0,15266.666667
96161,WA,JP,MEAT4,FOOD5,585.09,913.0,1.0,1.0,913.0,1.560444
96835,WA,JP,NONME,CONST,245.63,910.0,1.0,1.0,910.0,3.704759
23083,CN,JP,STONE,FISHF,0.06,909.0,1.0,1.0,909.0,15150.0
94223,WA,JP,CRUDE,GASDI,934.1,908.0,1.0,1.0,908.0,0.972059
89537,US,JP,NONME,BASIC,46.07,906.0,1.0,1.0,906.0,19.665726
67258,MX,JP,FISHF,FISH5,90.91,888.0,1.0,1.0,888.0,9.767902
59894,KR,JP,BASIC,RADIO,426.78,875.0,1.0,1.0,875.0,2.050237
21016,CN,JP,MEDIC,HEALT,520.8,875.0,1.0,1.0,875.0,1.680108
60970,KR,JP,FABRI,CONST,1228.1,868.0,1.0,1.0,868.0,0.706783
59835,KR,JP,BASIC,CONST,422.85,867.0,1.0,1.0,867.0,2.050372
23092,CN,JP,STONE,POULT,0.06,855.0,1.0,1.0,855.0,14250.0
98438,WA,JP,RUBBE,OFFIC,1061.03,854.0,1.0,1.0,854.0,0.804878
20282,CN,JP,FURNI,FURNI,692.39,848.0,1.0,1.0,848.0,1.224743
23560,CN,JP,WEARI,HEALT,730.41,845.0,1.0,1.0,845.0,1.156884
96791,WA,JP,NONF1,OFFIC,112.53,845.0,1.0,1.0,845.0,7.509109
92089,US,JP,TRANS,TRANS,842.22,843.0,1.0,1.0,843.0,1.000926
23296,CN,JP,TEXTI,TEXTI,559.86,829.0,1.0,1.0,829.0,1.480727
18280,CN,JP,ALUM1,FABRI,186.82,812.0,1.0,1.0,812.0,4.34643
102825,WL,JP,FISH5,HOTEL,189.5,811.0,1.0,1.0,811.0,4.279683
87178,US,JP,COPP1,COPP1,256.37,809.0,1.0,1.0,809.0,3.155595
63930,KR,JP,STONE,REALE,5.62,792.0,1.0,1.0,792.0,140.925267
96135,WA,JP,MEAT4,CHEM1,501.7,783.0,1.0,1.0,783.0,1.560694
23102,CN,JP,STONE,TRANS,0.05,778.0,1.0,1.0,778.0,15560.0
106483,WM,JP,LIQUE,DIST1,195.75,770.0,1.0,1.0,770.0,3.933589
93123,WA,JP,BASIC,MACHI,96.24,767.0,1.0,1.0,767.0,7.969659
96731,WA,JP,NONF1,BASIC,101.2,760.0,1.0,1.0,760.0,7.509881
23225,CN,JP,TEXTI,FURNI,511.44,758.0,1.0,1.0,758.0,1.48209
106200,WM,JP,HEAVY,MOTOR,199.45,755.0,1.0,1.0,755.0,3.78541
5272,AU,JP,SANDC,MACHI,6.63,753.0,1.0,1.0,753.0,113.574661
19595,CN,JP,ELECT,MOTO1,349.16,749.0,1.0,1.0,749.0,2.145148
93669,WA,JP,CHEM1,HEALT,21.4,748.0,1.0,1.0,748.0,34.953271
95121,WA,JP,FURNI,POSTT,344.04,731.0,1.0,1.0,731.0,2.124753
23086,CN,JP,STONE,HEALT,0.05,729.0,1.0,1.0,729.0,14580.0
92824,WA,JP,ALUM1,ALUM1,244.8,729.0,1.0,1.0,729.0,2.977941
94562,WA,JP,FABRI,MOTO1,348.57,725.0,1.0,1.0,725.0,2.079927
99210,WA,JP,TRANS,TRANS,255.48,722.0,1.0,1.0,722.0,2.826053
18963,CN,JP,CHEM1,CHEM1,410.67,720.0,1.0,1.0,720.0,1.753233
23873,CN,JP,WOODW,WOODW,707.21,716.0,1.0,1.0,716.0,1.012429
22847,CN,JP,RUBBE,RUBBE,354.69,707.0,1.0,1.0,707.0,1.99329
83963,TW,JP,CONST,ELECT,544.96,697.0,1.0,1.0,697.0,1.278993
106093,WM,JP,GASDI,SEACO,183.5,695.0,1.0,1.0,695.0,3.787466
22803,CN,JP,RUBBE,MOTO1,348.45,694.0,1.0,1.0,694.0,1.991677
23529,CN,JP,WEARI,CONST,598.3,692.0,1.0,1.0,692.0,1.15661
23249,CN,JP,TEXTI,MOTO1,463.28,686.0,1.0,1.0,686.0,1.480746
2271,AU,JP,BITUM,PFERT,1092.13,681.0,1.0,1.0,681.0,0.623552
94527,WA,JP,FABRI,FABRI,324.31,674.0,1.0,1.0,674.0,2.078258
23617,CN,JP,WEARI,RETA1,573.23,663.0,1.0,1.0,663.0,1.156604
93581,WA,JP,CERAM,RADIO,118.36,647.0,1.0,1.0,647.0,5.466374
77242,RU,JP,CRUDE,GASDI,605.14,641.0,1.0,1.0,641.0,1.059259
99535,WA,JP,WEARI,WHOLE,181.54,640.0,1.0,1.0,640.0,3.525394
96780,WA,JP,NONF1,MACHI,84.8,637.0,1.0,1.0,637.0,7.511792
99293,WA,JP,VEGE1,PLAST,166.05,629.0,1.0,1.0,629.0,3.788016
59847,KR,JP,BASIC,FABRI,300.47,616.0,1.0,1.0,616.0,2.050121
94555,WA,JP,FABRI,MACHI,295.25,614.0,1.0,1.0,614.0,2.079594
102330,WL,JP,CHEM1,BASIC,35.2,606.0,1.0,1.0,606.0,17.215909
20328,CN,JP,FURNI,POSTT,492.56,603.0,1.0,1.0,603.0,1.224216
60166,KR,JP,CEMEN,NONME,20.97,598.0,1.0,1.0,598.0,28.516929
106799,WM,JP,MOTOR,LANDT,154.01,590.0,1.0,1.0,590.0,3.83092
23081,CN,JP,STONE,CROPS,0.04,583.0,1.0,1.0,583.0,14575.0
19737,CN,JP,FABRI,MOTO1,210.34,577.0,1.0,1.0,577.0,2.743178
95226,WA,JP,GASDI,PAPE1,223.0,572.0,1.0,1.0,572.0,2.565022
69717,NL,JP,CONST,ELECT,631.62,572.0,1.0,1.0,572.0,0.905608
93641,WA,JP,CHEM1,CONST,16.29,570.0,1.0,1.0,570.0,34.990792
106923,WM,JP,NATU1,MOTOR,805.91,559.0,1.0,1.0,559.0,0.693626
95051,WA,JP,FURNI,CONST,262.39,557.0,1.0,1.0,557.0,2.122794
19001,CN,JP,CHEM1,HEALT,316.87,556.0,1.0,1.0,556.0,1.754663
99254,WA,JP,VEGE1,FOOD5,145.07,550.0,1.0,1.0,550.0,3.791273
99034,WA,JP,TEXTI,HEALT,417.21,548.0,1.0,1.0,548.0,1.313487
18296,CN,JP,ALUM1,MACHI,125.87,547.0,1.0,1.0,547.0,4.345754
5285,AU,JP,SANDC,RECRE,4.78,544.0,1.0,1.0,544.0,113.807531
19702,CN,JP,FABRI,FABRI,195.7,536.0,1.0,1.0,536.0,2.738886
96768,WA,JP,NONF1,FURNI,70.75,531.0,1.0,1.0,531.0,7.5053
98420,WA,JP,RUBBE,MACHI,660.04,531.0,1.0,1.0,531.0,0.804497
95180,WA,JP,GASDI,CONST,206.97,531.0,1.0,1.0,531.0,2.565589
96760,WA,JP,NONF1,ELECT,70.08,526.0,1.0,1.0,526.0,7.505708
63040,KR,JP,PREC1,RADIO,176.63,521.0,1.0,1.0,521.0,2.949669
102467,WL,JP,COPP1,COPP1,65.55,517.0,1.0,1.0,517.0,7.887109
92851,WA,JP,ALUM1,FABRI,172.03,512.0,1.0,1.0,512.0,2.976225
99358,WA,JP,VEGET,FOOD5,577.67,512.0,1.0,1.0,512.0,0.886319
27483,DE,JP,MOTO1,MOTO1,2638.05,500.0,1.0,1.0,500.0,0.189534
21406,CN,JP,NONF1,RADIO,82.48,498.0,1.0,1.0,498.0,6.037827
63007,KR,JP,PREC1,FURNI,167.96,495.0,1.0,1.0,495.0,2.94713
21256,CN,JP,MOTO1,SALEM,202.35,490.0,1.0,1.0,490.0,2.421547
19730,CN,JP,FABRI,MACHI,178.16,488.0,1.0,1.0,488.0,2.739111
