trade_id,import_price_index,export_price_index,exchange_rate,price_year,currency_adjustment_factor
2865134,1.0,1.0,1.0,2020,1.0
2865135,1.0,1.0,1.0,2020,1.0
2865136,1.0,1.0,1.0,2020,1.0
2865137,1.0,1.0,1.0,2020,1.0
2865138,1.0,1.0,1.0,2020,1.0
2865139,1.0,1.0,1.0,2020,1.0
2865140,1.0,1.0,1.0,2020,1.0
2865141,1.0,1.0,1.0,2020,1.0
2865142,1.0,1.0,1.0,2020,1.0
2865143,1.0,1.0,1.0,2020,1.0
2865144,1.0,1.0,1.0,2020,1.0
2865145,1.0,1.0,1.0,2020,1.0
2865146,1.0,1.0,1.0,2020,1.0
2865147,1.0,1.0,1.0,2020,1.0
2865148,1.0,1.0,1.0,2020,1.0
2865149,1.0,1.0,1.0,2020,1.0
2865150,1.0,1.0,1.0,2020,1.0
2865151,1.0,1.0,1.0,2020,1.0
2865152,1.0,1.0,1.0,2020,1.0
2865153,1.0,1.0,1.0,2020,1.0
2865154,1.0,1.0,1.0,2020,1.0
2865155,1.0,1.0,1.0,2020,1.0
2865156,1.0,1.0,1.0,2020,1.0
2865157,1.0,1.0,1.0,2020,1.0
2865158,1.0,1.0,1.0,2020,1.0
2865159,1.0,1.0,1.0,2020,1.0
2865160,1.0,1.0,1.0,2020,1.0
2865161,1.0,1.0,1.0,2020,1.0
2865162,1.0,1.0,1.0,2020,1.0
2865163,1.0,1.0,1.0,2020,1.0
2865164,1.0,1.0,1.0,2020,1.0
2865165,1.0,1.0,1.0,2020,1.0
2865166,1.0,1.0,1.0,2020,1.0
2865167,1.0,1.0,1.0,2020,1.0
2865168,1.0,1.0,1.0,2020,1.0
2865169,1.0,1.0,1.0,2020,1.0
2865170,1.0,1.0,1.0,2020,1.0
2865171,1.0,1.0,1.0,2020,1.0
2865172,1.0,1.0,1.0,2020,1.0
2865173,1.0,1.0,1.0,2020,1.0
2865174,1.0,1.0,1.0,2020,1.0
2865175,1.0,1.0,1.0,2020,1.0
2865176,1.0,1.0,1.0,2020,1.0
2865177,1.0,1.0,1.0,2020,1.0
2865178,1.0,1.0,1.0,2020,1.0
2865179,1.0,1.0,1.0,2020,1.0
2865180,1.0,1.0,1.0,2020,1.0
2865181,1.0,1.0,1.0,2020,1.0
2865182,1.0,1.0,1.0,2020,1.0
2865183,1.0,1.0,1.0,2020,1.0
2865184,1.0,1.0,1.0,2020,1.0
2865185,1.0,1.0,1.0,2020,1.0
2865186,1.0,1.0,1.0,2020,1.0
2865187,1.0,1.0,1.0,2020,1.0
2865188,1.0,1.0,1.0,2020,1.0
2865189,1.0,1.0,1.0,2020,1.0
2865190,1.0,1.0,1.0,2020,1.0
2865191,1.0,1.0,1.0,2020,1.0
2865192,1.0,1.0,1.0,2020,1.0
2865193,1.0,1.0,1.0,2020,1.0
2865194,1.0,1.0,1.0,2020,1.0
2865195,1.0,1.0,1.0,2020,1.0
2865196,1.0,1.0,1.0,2020,1.0
2865197,1.0,1.0,1.0,2020,1.0
2865198,1.0,1.0,1.0,2020,1.0
2865199,1.0,1.0,1.0,2020,1.0
2865200,1.0,1.0,1.0,2020,1.0
2865201,1.0,1.0,1.0,2020,1.0
2865202,1.0,1.0,1.0,2020,1.0
2865203,1.0,1.0,1.0,2020,1.0
2865204,1.0,1.0,1.0,2020,1.0
2865205,1.0,1.0,1.0,2020,1.0
2865206,1.0,1.0,1.0,2020,1.0
2865207,1.0,1.0,1.0,2020,1.0
2865208,1.0,1.0,1.0,2020,1.0
2865209,1.0,1.0,1.0,2020,1.0
2865210,1.0,1.0,1.0,2020,1.0
2865211,1.0,1.0,1.0,2020,1.0
2865212,1.0,1.0,1.0,2020,1.0
2865213,1.0,1.0,1.0,2020,1.0
2865214,1.0,1.0,1.0,2020,1.0
2865215,1.0,1.0,1.0,2020,1.0
2865216,1.0,1.0,1.0,2020,1.0
2865217,1.0,1.0,1.0,2020,1.0
2865218,1.0,1.0,1.0,2020,1.0
2865219,1.0,1.0,1.0,2020,1.0
2865220,1.0,1.0,1.0,2020,1.0
2865221,1.0,1.0,1.0,2020,1.0
2865222,1.0,1.0,1.0,2020,1.0
2865223,1.0,1.0,1.0,2020,1.0
2865224,1.0,1.0,1.0,2020,1.0
2865225,1.0,1.0,1.0,2020,1.0
2865226,1.0,1.0,1.0,2020,1.0
2865227,1.0,1.0,1.0,2020,1.0
2865228,1.0,1.0,1.0,2020,1.0
2865229,1.0,1.0,1.0,2020,1.0
2865230,1.0,1.0,1.0,2020,1.0
2865231,1.0,1.0,1.0,2020,1.0
2865232,1.0,1.0,1.0,2020,1.0
2865233,1.0,1.0,1.0,2020,1.0
2865234,1.0,1.0,1.0,2020,1.0
2865235,1.0,1.0,1.0,2020,1.0
2865236,1.0,1.0,1.0,2020,1.0
2865237,1.0,1.0,1.0,2020,1.0
2865238,1.0,1.0,1.0,2020,1.0
2865239,1.0,1.0,1.0,2020,1.0
2865240,1.0,1.0,1.0,2020,1.0
2865241,1.0,1.0,1.0,2020,1.0
2865242,1.0,1.0,1.0,2020,1.0
2865243,1.0,1.0,1.0,2020,1.0
2865244,1.0,1.0,1.0,2020,1.0
2865245,1.0,1.0,1.0,2020,1.0
2865246,1.0,1.0,1.0,2020,1.0
2865247,1.0,1.0,1.0,2020,1.0
2865248,1.0,1.0,1.0,2020,1.0
2865249,1.0,1.0,1.0,2020,1.0
2865250,1.0,1.0,1.0,2020,1.0
2865251,1.0,1.0,1.0,2020,1.0
2865252,1.0,1.0,1.0,2020,1.0
2865253,1.0,1.0,1.0,2020,1.0
2865254,1.0,1.0,1.0,2020,1.0
2865255,1.0,1.0,1.0,2020,1.0
2865256,1.0,1.0,1.0,2020,1.0
2865257,1.0,1.0,1.0,2020,1.0
2865258,1.0,1.0,1.0,2020,1.0
2865259,1.0,1.0,1.0,2020,1.0
2865260,1.0,1.0,1.0,2020,1.0
2865261,1.0,1.0,1.0,2020,1.0
2865262,1.0,1.0,1.0,2020,1.0
2865263,1.0,1.0,1.0,2020,1.0
2865264,1.0,1.0,1.0,2020,1.0
2865265,1.0,1.0,1.0,2020,1.0
2865266,1.0,1.0,1.0,2020,1.0
2865267,1.0,1.0,1.0,2020,1.0
2865268,1.0,1.0,1.0,2020,1.0
2865269,1.0,1.0,1.0,2020,1.0
2865270,1.0,1.0,1.0,2020,1.0
2865271,1.0,1.0,1.0,2020,1.0
2865272,1.0,1.0,1.0,2020,1.0
2865273,1.0,1.0,1.0,2020,1.0
2865274,1.0,1.0,1.0,2020,1.0
2865275,1.0,1.0,1.0,2020,1.0
2865276,1.0,1.0,1.0,2020,1.0
2865277,1.0,1.0,1.0,2020,1.0
2865278,1.0,1.0,1.0,2020,1.0
2865279,1.0,1.0,1.0,2020,1.0
2865280,1.0,1.0,1.0,2020,1.0
2865281,1.0,1.0,1.0,2020,1.0
2865282,1.0,1.0,1.0,2020,1.0
2865283,1.0,1.0,1.0,2020,1.0
2865284,1.0,1.0,1.0,2020,1.0
2865285,1.0,1.0,1.0,2020,1.0
2865286,1.0,1.0,1.0,2020,1.0
2865287,1.0,1.0,1.0,2020,1.0
2865288,1.0,1.0,1.0,2020,1.0
2865289,1.0,1.0,1.0,2020,1.0
2865290,1.0,1.0,1.0,2020,1.0
2865291,1.0,1.0,1.0,2020,1.0
2865292,1.0,1.0,1.0,2020,1.0
2865293,1.0,1.0,1.0,2020,1.0
